surface_vocalized,category,purpose,is_operator
الَّذِي,اسم موصول مفرد مذكر,للإشارة إلى المفرد المذكر العاقل وغير العاقل,False
الَّتِي,اسم موصول مفرد مؤنث,للإشارة إلى المفردة المؤنثة,False
الَّذِينَ,اسم موصول جمع مذكر,للإشارة إلى جمع الذكور,False
اللَّاتِي,اسم موصول جمع مؤنث,للإشارة إلى جمع الإناث,False
اللَّوَاتِي,اسم موصول جمع مؤنث,للإشارة إلى جمع الإناث,False
اللَّذَيْنِ,اسم موصول مثنى مذكر,للإشارة إلى المثنى المذكر,False
اللَّتَيْنِ,اسم موصول مثنى مؤنث,للإشارة إلى المثنى المؤنث,False
هُوَ,ضمير منفصل غائب مذكر مفرد,ضمير الغائب المذكر المفرد,False
هِيَ,ضمير منفصل غائب مؤنث مفرد,ضمير الغائبة المؤنثة المفردة,False
هُمَا,ضمير منفصل غائب مثنى,ضمير الغائبين المثنى,False
هُمْ,ضمير منفصل غائب مذكر جمع,ضمير الغائبين المذكرين,False
هُنَّ,ضمير منفصل غائب مؤنث جمع,ضمير الغائبات المؤنثات,False
أَنَا,ضمير منفصل متكلم مفرد,ضمير المتكلم المفرد,False
نَحْنُ,ضمير منفصل متكلم جمع,ضمير المتكلمين,False
أَنْتَ,ضمير منفصل مخاطب مذكر مفرد,ضمير المخاطب المذكر المفرد,False
أَنْتِ,ضمير منفصل مخاطب مؤنث مفرد,ضمير المخاطبة المؤنثة المفردة,False
أَنْتُمَا,ضمير منفصل مخاطب مثنى,ضمير المخاطبين المثنى,False
أَنْتُمْ,ضمير منفصل مخاطب مذكر جمع,ضمير المخاطبين المذكرين,False
أَنْتُنَّ,ضمير منفصل مخاطب مؤنث جمع,ضمير المخاطبات المؤنثات,False
كَيْفَ,اسم استفهام حال,للسؤال عن الحال والكيفية,False
