Group Number,Arabic Group Name,English Group Name,Operator,Purpose/Usage,Example,Note,Example_Vocalized
1,الجر فقط الدلالية,Prepositions Only (Semantic),بِ,للدلالة على المرور أو القرب,مررت بزيد,الباء: حرف جر، زيد: اسم مجرور,مَرَرْتُ بِزَيْدٍ
1,الجر فقط الدلالية,Prepositions Only (Semantic),مِنْ,للدلالة على ابتداء الغاية الزمنية,سرت من البيت,من: حرف جر، البيت: اسم مجرور,سِرْتُ مِنَ الْبَيْتِ
1,الجر فقط الدلالية,Prepositions Only (Semantic),إِلَى,للدلالة على انتهاء الغاية الزمنية,سرت إلى البيت,إلى: حرف جر، البيت: اسم مجرور,سِرْتُ إِلَى الْبَيْتِ
1,الجر فقط الدلالية,Prepositions Only (Semantic),فِي,للدلالة على الظرفية,الماء في الكوز,في: حرف جر، الكوز: اسم مجرور,الْمَاءُ فِي الْكُوزِ
1,الجر فقط الدلالية,Prepositions Only (Semantic),عَنْ,للدلالة على المجاوزة,رميت السهم عن القوس,عن: حرف جر، القوس: اسم مجرور,رَمَيْتُ السَّهْمَ عَنِ الْقَوْسِ
1,الجر فقط الدلالية,Prepositions Only (Semantic),وَ,للدلالة على القسم,والله لأشربن,واو: حرف قسم، الله: اسم مجرور,وَاللَّهِ لَأَشْرَبَنَّ
1,الجر فقط الدلالية,Prepositions Only (Semantic),بِ,للدلالة على القسم,بالله لأفعلن,باء: حرف قسم، الله: اسم مجرور,بِاللَّهِ لَأَفْعَلَنَّ
1,الجر فقط الدلالية,Prepositions Only (Semantic),تَ,للدلالة على القسم,تالله لأضربن زيدا,تاء: حرف قسم، الله: اسم مجرور,تَاللَّهِ لَأَضْرِبَنَّ زَيْدًا
1,الجر فقط الدلالية,Prepositions Only (Semantic),لِ,للدلالة على الملكية,المال لزيد,اللام: حرف جر، زيد: اسم مجرور,الْمَالُ لِزَيْدٍ
1,الجر فقط الدلالية,Prepositions Only (Semantic),رُبَّ,للدلالة على التقليل,رب رجل كريم لقيته,رب: حرف جر، رجل: اسم مجرور لفظًا,رُبَّ رَجُلٍ كَرِيمٍ لَقِيتُهُ
1,الجر فقط الدلالية,Prepositions Only (Semantic),وَ,للدلالة على التقليل,وليل كموج البحر,واو رب: حرف جر، ليل: اسم مجرور لفظًا,وَلَيْلٍ كَمَوْجِ الْبَحْرِ
1,الجر فقط الدلالية,Prepositions Only (Semantic),عَلَى,للدلالة على الاستعلاء,الكتاب على المكتب,على: حرف جر، المكتب: اسم مجرور,الْكِتَابُ عَلَى الْمَكْتَبِ
1,الجر فقط الدلالية,Prepositions Only (Semantic),كَ,للدلالة على التشبيه,زيد كالأسد,الكاف: حرف جر وتشبيه، الأسد: اسم مجرور,زَيْدٌ كَالْأَسَدِ
1,الجر فقط الدلالية,Prepositions Only (Semantic),مُذْ,للدلالة على ابتداء الغاية الزمنية,ما رأيت زيدًا مذ يوم الجمعة,مذ: حرف جر، يوم: اسم مجرور,مَا رَأَيْتُ زَيْدًا مُذْ يَوْمِ الْجُمُعَةِ
1,الجر فقط الدلالية,Prepositions Only (Semantic),مُنْذُ,للدلالة على انتهاء الغاية الزمنية,ما رأيت زيدا منذ يوم الجمعة,منذ: حرف جر، يوم: اسم مجرور,مَا رَأَيْتُ زَيْدًا مُنْذُ يَوْمِ الْجُمُعَةِ
1,الجر فقط الدلالية,Prepositions Only (Semantic),حَتَّى,للدلالة على انتهاء الغاية الزمنية,سلام هي حتى مطلع الفجر,حتى: حرف جر وغاية، مطلع: اسم مجرور,سَلَامٌ هِيَ حَتَّى مَطْلَعِ الْفَجْرِ
1,الجر فقط الدلالية,Prepositions Only (Semantic),حَاشَا,للدلالة على الاستثناء,جاءني القوم حاشا زيد,حاشا: حرف جر واستثناء، زيد: اسم مجرور,جَاءَنِي الْقَوْمُ حَاشَا زَيْدٍ
1,الجر فقط الدلالية,Prepositions Only (Semantic),عَدَا,للدلالة على الاستثناء,جاءني القوم عدا زيد,عدا: حرف جر واستثناء، زيد: اسم مجرور,جَاءَنِي الْقَوْمُ عَدَا زَيْدٍ
1,الجر فقط الدلالية,Prepositions Only (Semantic),خَلَا,للدلالة على الاستثناء,جاءني القوم خلا زيد,خلا: حرف جر واستثناء، زيد: اسم مجرور,جَاءَنِي الْقَوْمُ خَلَا زَيْدٍ
2,التوكيد ,Emphasis and Wishing (Grammatical),إِنَّ,للتوكيد,إن زيدا قائم,إنَّ: حرف توكيد، زيدا: اسم منصوب، قائم: خبر مرفوع,إِنَّ زَيْدًا قَائِمٌ
2,التوكيد,Emphasis and Wishing (Grammatical),أَنَّ,للتوكيد,بلغني أن زيدا منطلق,أنَّ: حرف توكيد، زيدا: اسم منصوب، منطلق: خبر مرفوع,بَلَغَنِي أَنَّ زَيْدًا مُنْطَلِقٌ
2,التوكيد والتشبيه,Emphasis and Wishing (Grammatical),كَأَنَّ,للتشبيه,كأن زيدا أسد,كأنَّ: حرف توكيد وتشبيه، زيدا: اسم منصوب، أسد: خبر مرفوع,كَأَنَّ زَيْدًا أَسَدٌ
2,التوكيد والاستدراك,Emphasis and Wishing (Grammatical),لَكِنَّ,للاستدراك,غاب زيد لكن عمرا حاضر,لكنَّ: حرف استدراك، عمرا: اسم منصوب، حاضر: خبر مرفوع,غَابَ زَيْدٌ لَكِنَّ عَمْرًا حَاضِرٌ
2,التوكيد والتمني ,Emphasis and Wishing (Grammatical),لَيْتَ,للتمني,ليت زيدا طائر,ليت: حرف تمني، زيدا: اسم منصوب، طائر: خبر منصوب,لَيْتَ زَيْدًا طَائِرًا
2,التوكيد والترجي,Emphasis and Wishing (Grammatical),لَعَلَّ,للترجي,لعل السلطان عادل,لعلَّ: حرف ترجي، السلطان: اسم منصوب، عادل: خبر مرفوع,لَعَلَّ السُّلْطَانَ عَادِلٌ
3,النفي الإعرابية,Negation (Grammatical),مَا,للنفي,ما زيد ذاهبا,ما: نافية حجازية، زيد: اسم مرفوع، ذاهبا: خبر منصوب,مَا زَيْدٌ ذَاهِبًا
3,النفي الإعرابية,Negation (Grammatical),لَا,للنفي,لا رجل مسافرا,لا النافية للجنس: اسمها وخبرها منصوبان,لَا رَجُلَ مُسَافِرًا
4,واو المصاحبة (المعيّة),Vocative and Exception (Accusative Only),وَ,للمعية,استوى الماء والخشبة,واو المعية: حرف، الخشبة: مفعول معه منصوب,اسْتَوَى الْمَاءُ وَالْخَشَبَةَ
4,أداة الاستثناء الأم,Vocative and Exception (Accusative Only),إِلَّا,للاستثناء,قام القوم إلا زيدا,إلا: حرف استثناء، زيدا: مستثنى منصوب,قَامَ الْقَوْمُ إِلَّا زَيْدًا
4,أداة نداء الأم,Vocative and Exception (Accusative Only),يَا,للنداء,يا رسول الله,يا: حرف نداء، رسول: منادى منصوب,يَا رَسُولَ اللَّهِ
4,أداة نداء للبعيد,Vocative and Exception (Accusative Only),أَيَا,للنداء,أيا جما ذنبه,أيا: حرف نداء، جما: منادى منصوب,أَيَّا جَمَّا ذَنْبَهُ
4,أداة نداء للبعيد,Vocative and Exception (Accusative Only),هَيَا,للنداء,هيا ناسيا نعمة الله,هيا: حرف نداء، ناسيا: منادى منصوب,هَيَّا نَاسِيًا نِعْمَةَ اللَّهِ
