mabni_id,surface_vocalized,surface_bare,surface_kind,lexical_class,lexical_family,source_file,source_record_id,blocks_root_path,contract_state,estimated_form,attachment_type,notes,evidence_mode,derived_from
ANA,أَنَا,أنا,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,43,True,NONE,,,,DIRECT,
NAHNU,نَحْنُ,نحن,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,44,True,NONE,,,,DIRECT,
ANTA,أَنْتَ,أنت,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,45,True,NONE,,,source error: pronoun_form field shows نَحْنُ instead of أَنْتَ (id=45),DIRECT,
ANTI,أَنْتِ,أنت,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,46,True,NONE,,,,DIRECT,
ANTUMA,أَنْتُمَا,أنتما,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,47,True,NONE,,,,DIRECT,
ANTUM,أَنْتُمْ,أنتم,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,48,True,NONE,,,,DIRECT,
ANTUNNA,أَنْتُنَّ,أنتن,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,49,True,NONE,,,,DIRECT,
HUWA,هُوَ,هو,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,50,True,NONE,,,,DIRECT,
HIYA,هِيَ,هي,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,51,True,NONE,,,,DIRECT,
HUMA,هُمَا,هما,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,52,True,NONE,,,,DIRECT,
HUM,هُمْ,هم,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,53,True,NONE,,,,DIRECT,
HUNNA,هُنَّ,هن,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,54,True,NONE,,,,DIRECT,
IYYAYA,إِيَّايَ,إياي,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,55,True,NONE,,,source has double shadda إِيَّايَّ — normalised to إِيَّايَ,DIRECT,
IYYAANA,إِيَّانَا,إيانا,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,56,True,NONE,,,,DIRECT,
IYYAKA,إِيَّاكَ,إياك,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,57,True,NONE,,,,DIRECT,
IYYAKI,إِيَّاكِ,إياك,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,58,True,NONE,,,,DIRECT,
IYYAKUMA,إِيَّاكُمَا,إياكما,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,59,True,NONE,,,,DIRECT,
IYYAKUM,إِيَّاكُمْ,إياكم,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,60,True,NONE,,,,DIRECT,
IYYAKUNNA,إِيَّاكُنَّ,إياكن,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,61,True,NONE,,,,DIRECT,
IYYAHU,إِيَّاهُ,إياه,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,62,True,NONE,,,,DIRECT,
IYYAHA,إِيَّاهَا,إياها,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,63,True,NONE,,,,DIRECT,
IYYAHUMA,إِيَّاهُمَا,إياهما,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,64,True,NONE,,,,DIRECT,
IYYAHUNNA,إِيَّاهُنَّ,إياهن,OVERT,DETACHED_PRONOUN,DETACHED_PRONOUN_SERIES,pronouns_classification.json,65,True,NONE,,,,DIRECT,
