existing_field,current_type,current_owner,producer,consumer,constitutional_slot,constitutional_sort,constitutional_state,claim_profiles,evidence,provenance,residual,status
original_surface,str,hokom_pipeline,hokom_pipeline,bridge/claim_adapter,ORIGINAL_SURFACE,SURFACE_IDENTITY,FILLED,"WORD_CLASS_CLAIM,ROOT_CLAIM",yes,SurfaceProvenance,none,PARTIAL
normalized_surface,str,hokom_pipeline,normalize(),phonological pipeline,NORMALIZED_SURFACE,NORMALIZATION,FILLED,ALL,no,SurfaceProvenance.operations,none,PARTIAL
segment_host,Optional[str],hokom_pipeline,p0_segmentation,bridge/claim_adapter,SEGMENT_HOST,SEGMENTATION,FILLED|UNKNOWN,"ROOT_CLAIM,PATTERN_CLAIM",yes,none,SEGMENTATION_NO_LEXICAL_HOST,PARTIAL
segment_proclitics,tuple,hokom_pipeline,p0_segmentation,hokom_pipeline,PROCLITIC_SLOTS,ARTICLE,FILLED|UNKNOWN,ALL,no,none,none,UNTYPED
segment_enclitics,tuple,hokom_pipeline,p0_segmentation,hokom_pipeline,ENCLITIC_SLOTS,ARTICLE,FILLED|UNKNOWN,ALL,no,none,none,UNTYPED
segment_clitic_only,bool,hokom_pipeline,p0_segmentation,bridge,BOUNDARY_TYPE_SLOT,BOUNDARY,FILLED,ALL,no,none,SEGMENTATION_NO_LEXICAL_HOST,PARTIAL
morphology_blocked,bool,hokom_pipeline,hokom_pipeline,bridge,BOUNDARY_TYPE_SLOT,BOUNDARY,FILLED,ALL,no,none,none,PARTIAL
morphology_surface,Optional[str],hokom_pipeline,hokom_pipeline,bridge,SEGMENT_HOST,SEGMENTATION,FILLED|UNKNOWN,ALL,no,none,none,DUPLICATED
verdict,str,hokom_pipeline,word_gate(),claim_adapter,WORD_CLASS_SLOT,WORD_CLASS,FILLED|AMBIGUOUS,WORD_CLASS_CLAIM,no,none,none,UNTYPED
mabni_verdict,Optional[str],hokom_pipeline,hokom_pipeline,bridge,FUNCTIONAL_OWNER_SLOT,LEXICAL_FUNCTIONAL,FILLED|UNKNOWN,FUNCTIONAL_OWNER_CLAIM,no,none,none,UNTYPED
functional_boundary_owner,Optional[str],hokom_pipeline,functional_lexical_lookup,hokom_pipeline,FUNCTIONAL_OWNER_SLOT,LEXICAL_FUNCTIONAL,FILLED|UNKNOWN,FUNCTIONAL_OWNER_CLAIM,no,none,FUNCTIONAL_COLLISION,UNTYPED
functional_collision,bool,hokom_pipeline,functional_lexical_lookup,hokom_pipeline,FUNCTIONAL_OWNER_SLOT,LEXICAL_FUNCTIONAL,AMBIGUOUS,FUNCTIONAL_OWNER_CLAIM,no,none,FUNCTIONAL_COLLISION,UNTYPED
root_candidate,object|None,hokom_pipeline,p3_candidate,claim_adapter/bridge,ROOT_CANDIDATE_SET,RADICAL,FILLED|UNKNOWN,"ROOT_CLAIM",yes,none,AMBIGUOUS_ROOT,UNTYPED
final_root,tuple|None,hokom_pipeline,root_candidate,claim_adapter,ROOT_CANDIDATE_SET,RADICAL,FILLED|UNKNOWN,ROOT_CLAIM,yes,none,none,PARTIAL
phase4a_result,object|None,hokom_pipeline,p4_wazn,claim_adapter,PATTERN_CANDIDATE_SET,PATTERN,FILLED|UNKNOWN,PATTERN_CLAIM,yes,none,AMBIGUOUS_PATTERN,UNTYPED
final_wazn,str|None,hokom_pipeline,phase4a,claim_adapter,PATTERN_CANDIDATE_SET,PATTERN,FILLED|UNKNOWN,PATTERN_CLAIM,yes,none,none,PARTIAL
phase4b_result,object|None,hokom_pipeline,p4_bab,claim_adapter,BAB_CANDIDATE_SET,BAB,FILLED|UNKNOWN,BAB_CLAIM,yes,none,AMBIGUOUS_BAB,UNTYPED
final_form,str|None,hokom_pipeline,phase4b,summary,BAB_CANDIDATE_SET,BAB,FILLED|UNKNOWN,BAB_CLAIM,yes,none,none,PARTIAL
phase4c_result,object|None,hokom_pipeline,p4_masdar,claim_adapter,MASDAR_CANDIDATE_SET,MASDAR,FILLED|UNKNOWN,MASDAR_CLAIM,yes,none,AMBIGUOUS_MASDAR,UNTYPED
final_masdar,str|None,hokom_pipeline,phase4c,summary,MASDAR_CANDIDATE_SET,MASDAR,FILLED|UNKNOWN,MASDAR_CLAIM,yes,none,none,PARTIAL
phase4d_result,object|None,hokom_pipeline,p4_mushtaqat,claim_adapter,DERIVATIVE_CANDIDATE_SET,DERIVATIVE,FILLED|UNKNOWN,DERIVATIVE_CLAIM,yes,none,AMBIGUOUS_DERIVATIVE,UNTYPED
accepted_mushtaqat,tuple,hokom_pipeline,phase4d,summary,DERIVATIVE_CANDIDATE_SET,DERIVATIVE,FILLED|UNKNOWN,DERIVATIVE_CLAIM,yes,none,none,PARTIAL
word_class_result,object|None,hokom_pipeline,word_class_engine,claim_adapter,WORD_CLASS_SLOT,WORD_CLASS,FILLED|UNKNOWN,WORD_CLASS_CLAIM,yes,none,AMBIGUOUS_WORD_CLASS,UNTYPED
word_class,str|None,hokom_pipeline,word_class_result,summary,WORD_CLASS_SLOT,WORD_CLASS,FILLED|UNKNOWN,WORD_CLASS_CLAIM,no,none,none,PARTIAL
word_class_subclass,str|None,hokom_pipeline,word_class_result,summary,FUNCTIONAL_OWNER_SLOT,LEXICAL_FUNCTIONAL,FILLED|UNKNOWN,FUNCTIONAL_OWNER_CLAIM,no,none,none,UNTYPED
slots,list[dict],hokom_pipeline,syllabify(),slot_engineering,PHONOLOGICAL_CELLS,PHONOLOGICAL,FILLED|UNKNOWN,ALL,no,none,none,UNTYPED
active_residuals,tuple,hokom_pipeline,phases,claim_adapter,RESIDUAL_SLOT,RESIDUAL,FILLED|UNKNOWN,ALL,no,none,none,UNTYPED
resolved_residuals,tuple,hokom_pipeline,phases,claim_adapter,RESIDUAL_SLOT,RESIDUAL,FILLED,ALL,no,none,none,UNTYPED
taaqol_verdict,str|None,bridge,bridge,hokom_pipeline,EVIDENCE_SLOT,EVIDENCE,FILLED|UNKNOWN,ALL,yes,taaqol_runtime,none,PARTIAL
taaqol_runtime,dict|None,bridge,bridge,hokom_pipeline,EVIDENCE_SLOT,EVIDENCE,FILLED|UNKNOWN,ALL,yes,none,none,OPAQUE
taaqol_decision,HokomTaaqolDecision|None,bridge,bridge,hokom_pipeline,EVIDENCE_SLOT,EVIDENCE,FILLED|UNKNOWN,ALL,yes,none,none,PARTIAL
taaqol_effective_verdict,str|None,bridge,bridge,hokom_pipeline,EVIDENCE_SLOT,EVIDENCE,FILLED|UNKNOWN,ALL,yes,none,none,PARTIAL
inflectional_form,object|None,hokom_pipeline,p5_inflection,summary,INFLECTIONAL_FAMILY_SLOT,PARADIGM,FILLED|UNKNOWN,ALL,yes,none,none,UNTYPED
paradigm_id,str|None,hokom_pipeline,phase5,summary,PARADIGM_SLOT,PARADIGM,FILLED|UNKNOWN,ALL,yes,none,none,UNTYPED
pre_root,object|None,hokom_pipeline,pre_root_decision,hokom_pipeline,PATH_DIRECTIVE_SLOT,BOUNDARY,FILLED|UNKNOWN,ROOT_CLAIM,yes,none,none,UNTYPED
jamid_boundary,object|None,hokom_pipeline,jamid_aalam_boundary,hokom_pipeline,LEXICAL_IDENTITY_SLOT,LEXICAL_FUNCTIONAL,FILLED|UNKNOWN,FUNCTIONAL_OWNER_CLAIM,no,none,none,UNTYPED
augmented_analysis,object|None,hokom_pipeline,augmented_host_refinement,hokom_pipeline,DERIVATIONAL_EXTENSION_SLOTS,MORPHOSYNTAX,FILLED|UNKNOWN,"ROOT_CLAIM,PATTERN_CLAIM",yes,none,none,UNTYPED
cra_result,object|None,hokom_pipeline,canonical_radical_accounting,hokom_pipeline,ROOT_CANDIDATE_SET,RADICAL,FILLED|UNKNOWN,ROOT_CLAIM,yes,none,none,UNTYPED
